,lat,lon
0,52.52325,13.4122
1,52.52327,13.41384
2,52.52266,13.4157
3,52.52497,13.41552
4,52.52687,13.41107
5,52.523,13.41782
6,52.5193,13.41125
7,52.52415,13.4181
8,52.52473,13.4185
9,52.52236,13.41909
10,52.52325,13.4122
11,52.52327,13.41384
12,52.52266,13.4157
13,52.52497,13.41552
14,52.52687,13.41107
15,52.523,13.41782
16,52.5193,13.41125
17,52.52415,13.4181
18,52.52473,13.4185
19,52.52236,13.41909
20,52.52325,13.4122
21,52.52327,13.41384
22,52.52266,13.4157
23,52.52497,13.41552
24,52.52687,13.41107
25,52.523,13.41782
26,52.5193,13.41125
27,52.52415,13.4181
28,52.52473,13.4185
29,52.52236,13.41909
30,52.52325,13.4122
31,52.52327,13.41384
32,52.52266,13.4157
33,52.52497,13.41552
34,52.52687,13.41107
35,52.523,13.41782
36,52.5193,13.41125
37,52.52415,13.4181
38,52.52473,13.4185
39,52.52236,13.41909
40,52.52325,13.4122
41,52.52327,13.41384
42,52.52266,13.4157
43,52.52497,13.41552
44,52.52687,13.41107
45,52.523,13.41782
46,52.5193,13.41125
47,52.52415,13.4181
48,52.52473,13.4185
49,52.52236,13.41909
50,52.52325,13.4122
51,52.52327,13.41384
52,52.52266,13.4157
53,52.52497,13.41552
54,52.52687,13.41107
55,52.523,13.41782
56,52.5193,13.41125
57,52.52415,13.4181
58,52.52473,13.4185
59,52.52236,13.41909
60,52.52325,13.4122
61,52.52327,13.41384
62,52.52266,13.4157
63,52.52497,13.41552
64,52.52687,13.41107
65,52.523,13.41782
66,52.5193,13.41125
67,52.52415,13.4181
68,52.52473,13.4185
69,52.52236,13.41909
70,52.52325,13.4122
71,52.52327,13.41384
72,52.52266,13.4157
73,52.52497,13.41552
74,52.52687,13.41107
75,52.523,13.41782
76,52.5193,13.41125
77,52.52415,13.4181
78,52.52473,13.4185
79,52.52236,13.41909
80,52.52325,13.4122
81,52.52327,13.41384
82,52.52266,13.4157
83,52.52497,13.41552
84,52.52687,13.41107
85,52.523,13.41782
86,52.5193,13.41125
87,52.52415,13.4181
88,52.52473,13.4185
89,52.52236,13.41909
90,52.52325,13.4122
91,52.52327,13.41384
92,52.52266,13.4157
93,52.52497,13.41552
94,52.52687,13.41107
95,52.523,13.41782
96,52.5193,13.41125
97,52.52415,13.4181
98,52.52473,13.4185
99,52.52236,13.41909
100,52.52325,13.4122
101,52.52327,13.41384
102,52.52266,13.4157
103,52.52497,13.41552
104,52.52687,13.41107
105,52.523,13.41782
106,52.5193,13.41125
107,52.52415,13.4181
108,52.52473,13.4185
109,52.52236,13.41909
110,52.52325,13.4122
111,52.52327,13.41384
112,52.52266,13.4157
113,52.52497,13.41552
114,52.52687,13.41107
115,52.523,13.41782
116,52.5193,13.41125
117,52.52415,13.4181
118,52.52473,13.4185
119,52.52236,13.41909
120,52.52325,13.4122
121,52.52327,13.41384
122,52.52266,13.4157
123,52.52497,13.41552
124,52.52687,13.41107
125,52.523,13.41782
126,52.5193,13.41125
127,52.52415,13.4181
128,52.52473,13.4185
129,52.52236,13.41909
130,52.52325,13.4122
131,52.52327,13.41384
132,52.52266,13.4157
133,52.52497,13.41552
134,52.52687,13.41107
135,52.523,13.41782
136,52.5193,13.41125
137,52.52415,13.4181
138,52.52473,13.4185
139,52.52236,13.41909
140,52.52325,13.4122
141,52.52327,13.41384
142,52.52266,13.4157
143,52.52497,13.41552
144,52.52687,13.41107
145,52.523,13.41782
146,52.5193,13.41125
147,52.52415,13.4181
148,52.52473,13.4185
149,52.52236,13.41909
150,52.52325,13.4122
151,52.52327,13.41384
152,52.52266,13.4157
153,52.52497,13.41552
154,52.52687,13.41107
155,52.523,13.41782
156,52.5193,13.41125
157,52.52415,13.4181
158,52.52473,13.4185
159,52.52236,13.41909
160,52.52325,13.4122
161,52.52327,13.41384
162,52.52266,13.4157
163,52.52497,13.41552
164,52.52687,13.41107
165,52.523,13.41782
166,52.5193,13.41125
167,52.52415,13.4181
168,52.52473,13.4185
169,52.52236,13.41909
170,52.52325,13.4122
171,52.52327,13.41384
172,52.52266,13.4157
173,52.52497,13.41552
174,52.52687,13.41107
175,52.523,13.41782
176,52.5193,13.41125
177,52.52415,13.4181
178,52.52473,13.4185
179,52.52236,13.41909
180,52.52325,13.4122
181,52.52327,13.41384
182,52.52266,13.4157
183,52.52497,13.41552
184,52.52687,13.41107
185,52.523,13.41782
186,52.5193,13.41125
187,52.52415,13.4181
188,52.52473,13.4185
189,52.52236,13.41909
190,52.52325,13.4122
191,52.52327,13.41384
192,52.52266,13.4157
193,52.52497,13.41552
194,52.52687,13.41107
195,52.523,13.41782
196,52.5193,13.41125
197,52.52415,13.4181
198,52.52473,13.4185
199,52.52236,13.41909
200,52.52325,13.4122
201,52.52327,13.41384
202,52.52266,13.4157
203,52.52497,13.41552
204,52.52687,13.41107
205,52.523,13.41782
206,52.5193,13.41125
207,52.52415,13.4181
208,52.52473,13.4185
209,52.52236,13.41909
210,52.52325,13.4122
211,52.52327,13.41384
212,52.52266,13.4157
213,52.52497,13.41552
214,52.52687,13.41107
215,52.523,13.41782
216,52.5193,13.41125
217,52.52415,13.4181
218,52.52473,13.4185
219,52.52236,13.41909
220,52.52325,13.4122
221,52.52327,13.41384
222,52.52266,13.4157
223,52.52497,13.41552
224,52.52687,13.41107
225,52.523,13.41782
226,52.5193,13.41125
227,52.52415,13.4181
228,52.52473,13.4185
229,52.52236,13.41909
230,52.52325,13.4122
231,52.52327,13.41384
232,52.52266,13.4157
233,52.52497,13.41552
234,52.52687,13.41107
235,52.523,13.41782
236,52.5193,13.41125
237,52.52415,13.4181
238,52.52473,13.4185
239,52.52236,13.41909
240,52.52325,13.4122
241,52.52327,13.41384
242,52.52266,13.4157
243,52.52497,13.41552
244,52.52687,13.41107
245,52.523,13.41782
246,52.5193,13.41125
247,52.52415,13.4181
248,52.52473,13.4185
249,52.52236,13.41909
250,52.52325,13.4122
251,52.52327,13.41384
252,52.52266,13.4157
253,52.52497,13.41552
254,52.52687,13.41107
255,52.523,13.41782
256,52.5193,13.41125
257,52.52415,13.4181
258,52.52473,13.4185
259,52.52236,13.41909
260,52.52325,13.4122
261,52.52327,13.41384
262,52.52266,13.4157
263,52.52497,13.41552
264,52.52687,13.41107
265,52.523,13.41782
266,52.5193,13.41125
267,52.52415,13.4181
268,52.52473,13.4185
269,52.52236,13.41909
270,52.52325,13.4122
271,52.52327,13.41384
272,52.52266,13.4157
273,52.52497,13.41552
274,52.52687,13.41107
275,52.523,13.41782
276,52.5193,13.41125
277,52.52415,13.4181
278,52.52473,13.4185
279,52.52236,13.41909
280,52.52325,13.4122
281,52.52327,13.41384
282,52.52266,13.4157
283,52.52497,13.41552
284,52.52687,13.41107
285,52.523,13.41782
286,52.5193,13.41125
287,52.52415,13.4181
288,52.52473,13.4185
289,52.52236,13.41909
290,52.52325,13.4122
291,52.52327,13.41384
292,52.52266,13.4157
293,52.52497,13.41552
294,52.52687,13.41107
295,52.523,13.41782
296,52.5193,13.41125
297,52.52415,13.4181
298,52.52473,13.4185
299,52.52236,13.41909
300,52.52325,13.4122
301,52.52327,13.41384
302,52.52266,13.4157
303,52.52497,13.41552
304,52.52687,13.41107
305,52.523,13.41782
306,52.5193,13.41125
307,52.52415,13.4181
308,52.52473,13.4185
309,52.52236,13.41909
310,52.52325,13.4122
311,52.52327,13.41384
312,52.52266,13.4157
313,52.52497,13.41552
314,52.52687,13.41107
315,52.523,13.41782
316,52.5193,13.41125
317,52.52415,13.4181
318,52.52473,13.4185
319,52.52236,13.41909
320,52.52325,13.4122
321,52.52327,13.41384
322,52.52266,13.4157
323,52.52497,13.41552
324,52.52687,13.41107
325,52.523,13.41782
326,52.5193,13.41125
327,52.52415,13.4181
328,52.52473,13.4185
329,52.52236,13.41909
330,52.52325,13.4122
331,52.52327,13.41384
332,52.52266,13.4157
333,52.52497,13.41552
334,52.52687,13.41107
335,52.523,13.41782
336,52.5193,13.41125
337,52.52415,13.4181
338,52.52473,13.4185
339,52.52236,13.41909
340,52.52325,13.4122
341,52.52327,13.41384
342,52.52266,13.4157
343,52.52497,13.41552
344,52.52687,13.41107
345,52.523,13.41782
346,52.5193,13.41125
347,52.52415,13.4181
348,52.52473,13.4185
349,52.52236,13.41909
350,52.52325,13.4122
351,52.52327,13.41384
352,52.52266,13.4157
353,52.52497,13.41552
354,52.52687,13.41107
355,52.523,13.41782
356,52.5193,13.41125
357,52.52415,13.4181
358,52.52473,13.4185
359,52.52236,13.41909
360,52.52325,13.4122
361,52.52327,13.41384
362,52.52266,13.4157
363,52.52497,13.41552
364,52.52687,13.41107
365,52.523,13.41782
366,52.5193,13.41125
367,52.52415,13.4181
368,52.52473,13.4185
369,52.52236,13.41909
370,52.52325,13.4122
371,52.52327,13.41384
372,52.52266,13.4157
373,52.52497,13.41552
374,52.52687,13.41107
375,52.523,13.41782
376,52.5193,13.41125
377,52.52415,13.4181
378,52.52473,13.4185
379,52.52236,13.41909
380,52.52325,13.4122
381,52.52327,13.41384
382,52.52266,13.4157
383,52.52497,13.41552
384,52.52687,13.41107
385,52.523,13.41782
386,52.5193,13.41125
387,52.52415,13.4181
388,52.52473,13.4185
389,52.52236,13.41909
390,52.52325,13.4122
391,52.52327,13.41384
392,52.52266,13.4157
393,52.52497,13.41552
394,52.52687,13.41107
395,52.523,13.41782
396,52.5193,13.41125
397,52.52415,13.4181
398,52.52473,13.4185
399,52.52236,13.41909
400,52.52325,13.4122
401,52.52327,13.41384
402,52.52266,13.4157
403,52.52497,13.41552
404,52.52687,13.41107
405,52.523,13.41782
406,52.5193,13.41125
407,52.52415,13.4181
408,52.52473,13.4185
409,52.52236,13.41909
410,52.52325,13.4122
411,52.52327,13.41384
412,52.52266,13.4157
413,52.52497,13.41552
414,52.52687,13.41107
415,52.523,13.41782
416,52.5193,13.41125
417,52.52415,13.4181
418,52.52473,13.4185
419,52.52236,13.41909
420,52.52325,13.4122
421,52.52327,13.41384
422,52.52266,13.4157
423,52.52497,13.41552
424,52.52687,13.41107
425,52.523,13.41782
426,52.5193,13.41125
427,52.52415,13.4181
428,52.52473,13.4185
429,52.52236,13.41909
430,52.52325,13.4122
431,52.52327,13.41384
432,52.52266,13.4157
433,52.52497,13.41552
434,52.52687,13.41107
435,52.523,13.41782
436,52.5193,13.41125
437,52.52415,13.4181
438,52.52473,13.4185
439,52.52236,13.41909
440,52.52325,13.4122
441,52.52327,13.41384
442,52.52266,13.4157
443,52.52497,13.41552
444,52.52687,13.41107
445,52.523,13.41782
446,52.5193,13.41125
447,52.52415,13.4181
448,52.52473,13.4185
449,52.52236,13.41909
450,52.52325,13.4122
451,52.52327,13.41384
452,52.52266,13.4157
453,52.52497,13.41552
454,52.52687,13.41107
455,52.523,13.41782
456,52.5193,13.41125
457,52.52415,13.4181
458,52.52473,13.4185
459,52.52236,13.41909
460,52.52325,13.4122
461,52.52327,13.41384
462,52.52266,13.4157
463,52.52497,13.41552
464,52.52687,13.41107
465,52.523,13.41782
466,52.5193,13.41125
467,52.52415,13.4181
468,52.52473,13.4185
469,52.52236,13.41909
470,52.52325,13.4122
471,52.52327,13.41384
472,52.52266,13.4157
473,52.52497,13.41552
474,52.52687,13.41107
475,52.523,13.41782
476,52.5193,13.41125
477,52.52415,13.4181
478,52.52473,13.4185
479,52.52236,13.41909
480,52.52325,13.4122
481,52.52327,13.41384
482,52.52266,13.4157
483,52.52497,13.41552
484,52.52687,13.41107
485,52.523,13.41782
486,52.5193,13.41125
487,52.52415,13.4181
488,52.52473,13.4185
489,52.52236,13.41909
490,52.52325,13.4122
491,52.52327,13.41384
492,52.52266,13.4157
493,52.52497,13.41552
494,52.52687,13.41107
495,52.523,13.41782
496,52.5193,13.41125
497,52.52415,13.4181
498,52.52473,13.4185
499,52.52236,13.41909
500,52.52325,13.4122
501,52.52327,13.41384
502,52.52266,13.4157
503,52.52497,13.41552
504,52.52687,13.41107
505,52.523,13.41782
506,52.5193,13.41125
507,52.52415,13.4181
508,52.52473,13.4185
509,52.52236,13.41909
510,52.52325,13.4122
511,52.52327,13.41384
512,52.52266,13.4157
513,52.52497,13.41552
514,52.52687,13.41107
515,52.523,13.41782
516,52.5193,13.41125
517,52.52415,13.4181
518,52.52473,13.4185
519,52.52236,13.41909
520,52.52325,13.4122
521,52.52327,13.41384
522,52.52266,13.4157
523,52.52497,13.41552
524,52.52687,13.41107
525,52.523,13.41782
526,52.5193,13.41125
527,52.52415,13.4181
528,52.52473,13.4185
529,52.52236,13.41909
530,52.52325,13.4122
531,52.52327,13.41384
532,52.52266,13.4157
533,52.52497,13.41552
534,52.52687,13.41107
535,52.523,13.41782
536,52.5193,13.41125
537,52.52415,13.4181
538,52.52473,13.4185
539,52.52236,13.41909
540,52.52325,13.4122
541,52.52327,13.41384
542,52.52266,13.4157
543,52.52497,13.41552
544,52.52687,13.41107
545,52.523,13.41782
546,52.5193,13.41125
547,52.52415,13.4181
548,52.52473,13.4185
549,52.52236,13.41909
550,52.52325,13.4122
551,52.52327,13.41384
552,52.52266,13.4157
553,52.52497,13.41552
554,52.52687,13.41107
555,52.523,13.41782
556,52.5193,13.41125
557,52.52415,13.4181
558,52.52473,13.4185
559,52.52236,13.41909
560,52.52325,13.4122
561,52.52327,13.41384
562,52.52266,13.4157
563,52.52497,13.41552
564,52.52687,13.41107
565,52.523,13.41782
566,52.5193,13.41125
567,52.52415,13.4181
568,52.52473,13.4185
569,52.52236,13.41909
570,52.52325,13.4122
571,52.52327,13.41384
572,52.52266,13.4157
573,52.52497,13.41552
574,52.52687,13.41107
575,52.523,13.41782
576,52.5193,13.41125
577,52.52415,13.4181
578,52.52473,13.4185
579,52.52236,13.41909
580,52.52325,13.4122
581,52.52327,13.41384
582,52.52266,13.4157
583,52.52497,13.41552
584,52.52687,13.41107
585,52.523,13.41782
586,52.5193,13.41125
587,52.52415,13.4181
588,52.52473,13.4185
589,52.52236,13.41909
590,52.52325,13.4122
591,52.52327,13.41384
592,52.52266,13.4157
593,52.52497,13.41552
594,52.52687,13.41107
595,52.523,13.41782
596,52.5193,13.41125
597,52.52415,13.4181
598,52.52473,13.4185
599,52.52236,13.41909
600,52.52325,13.4122
601,52.52327,13.41384
602,52.52266,13.4157
603,52.52497,13.41552
604,52.52687,13.41107
605,52.523,13.41782
606,52.5193,13.41125
607,52.52415,13.4181
608,52.52473,13.4185
609,52.52236,13.41909
610,52.52325,13.4122
611,52.52327,13.41384
612,52.52266,13.4157
613,52.52497,13.41552
614,52.52687,13.41107
615,52.523,13.41782
616,52.5193,13.41125
617,52.52415,13.4181
618,52.52473,13.4185
619,52.52236,13.41909
620,52.52325,13.4122
621,52.52327,13.41384
622,52.52266,13.4157
623,52.52497,13.41552
624,52.52687,13.41107
625,52.523,13.41782
626,52.5193,13.41125
627,52.52415,13.4181
628,52.52473,13.4185
629,52.52236,13.41909
630,52.52325,13.4122
631,52.52327,13.41384
632,52.52266,13.4157
633,52.52497,13.41552
634,52.52687,13.41107
635,52.523,13.41782
636,52.5193,13.41125
637,52.52415,13.4181
638,52.52473,13.4185
639,52.52236,13.41909
640,52.52325,13.4122
641,52.52327,13.41384
642,52.52266,13.4157
643,52.52497,13.41552
644,52.52687,13.41107
645,52.523,13.41782
646,52.5193,13.41125
647,52.52415,13.4181
648,52.52473,13.4185
649,52.52236,13.41909
650,52.52325,13.4122
651,52.52327,13.41384
652,52.52266,13.4157
653,52.52497,13.41552
654,52.52687,13.41107
655,52.523,13.41782
656,52.5193,13.41125
657,52.52415,13.4181
658,52.52473,13.4185
659,52.52236,13.41909
660,52.52325,13.4122
661,52.52327,13.41384
662,52.52266,13.4157
663,52.52497,13.41552
664,52.52687,13.41107
665,52.523,13.41782
666,52.5193,13.41125
667,52.52415,13.4181
668,52.52473,13.4185
669,52.52236,13.41909
670,52.52325,13.4122
671,52.52327,13.41384
672,52.52266,13.4157
673,52.52497,13.41552
674,52.52687,13.41107
675,52.523,13.41782
676,52.5193,13.41125
677,52.52415,13.4181
678,52.52473,13.4185
679,52.52236,13.41909
680,52.52325,13.4122
681,52.52327,13.41384
682,52.52266,13.4157
683,52.52497,13.41552
684,52.52687,13.41107
685,52.523,13.41782
686,52.5193,13.41125
687,52.52415,13.4181
688,52.52473,13.4185
689,52.52236,13.41909
690,52.52325,13.4122
691,52.52327,13.41384
692,52.52266,13.4157
693,52.52497,13.41552
694,52.52687,13.41107
695,52.523,13.41782
696,52.5193,13.41125
697,52.52415,13.4181
698,52.52473,13.4185
699,52.52236,13.41909
700,52.52325,13.4122
701,52.52327,13.41384
702,52.52266,13.4157
703,52.52497,13.41552
704,52.52687,13.41107
705,52.523,13.41782
706,52.5193,13.41125
707,52.52415,13.4181
708,52.52473,13.4185
709,52.52236,13.41909
710,52.52325,13.4122
711,52.52327,13.41384
712,52.52266,13.4157
713,52.52497,13.41552
714,52.52687,13.41107
715,52.523,13.41782
716,52.5193,13.41125
717,52.52415,13.4181
718,52.52473,13.4185
719,52.52236,13.41909
720,52.52325,13.4122
721,52.52327,13.41384
722,52.52266,13.4157
723,52.52497,13.41552
724,52.52687,13.41107
725,52.523,13.41782
726,52.5193,13.41125
727,52.52415,13.4181
728,52.52473,13.4185
729,52.52236,13.41909
730,52.52325,13.4122
731,52.52327,13.41384
732,52.52266,13.4157
733,52.52497,13.41552
734,52.52687,13.41107
735,52.523,13.41782
736,52.5193,13.41125
737,52.52415,13.4181
738,52.52473,13.4185
739,52.52236,13.41909
740,52.52325,13.4122
741,52.52327,13.41384
742,52.52266,13.4157
743,52.52497,13.41552
744,52.52687,13.41107
745,52.523,13.41782
746,52.5193,13.41125
747,52.52415,13.4181
748,52.52473,13.4185
749,52.52236,13.41909
750,52.52325,13.4122
751,52.52327,13.41384
752,52.52266,13.4157
753,52.52497,13.41552
754,52.52687,13.41107
755,52.523,13.41782
756,52.5193,13.41125
757,52.52415,13.4181
758,52.52473,13.4185
759,52.52236,13.41909
760,52.52325,13.4122
761,52.52327,13.41384
762,52.52266,13.4157
763,52.52497,13.41552
764,52.52687,13.41107
765,52.523,13.41782
766,52.5193,13.41125
767,52.52415,13.4181
768,52.52473,13.4185
769,52.52236,13.41909
770,52.52325,13.4122
771,52.52327,13.41384
772,52.52266,13.4157
773,52.52497,13.41552
774,52.52687,13.41107
775,52.523,13.41782
776,52.5193,13.41125
777,52.52415,13.4181
778,52.52473,13.4185
779,52.52236,13.41909
